train 0: time=0:00:01.492184, step=74, mse_loss=26.3123, l2_loss=4.10126
dev 47: time=0:00:00.040865, step=3552, mse_loss=0.91139, l2_loss=0.759539
train 48: time=0:00:01.228627, step=3626, mse_loss=0.514769, l2_loss=0.674328
dev 48: time=0:00:00.041286, step=3626, mse_loss=0.911215, l2_loss=0.759395
train 49: time=0:00:01.234516, step=3700, mse_loss=0.513646, l2_loss=0.673759
dev 49: time=0:00:00.041194, step=3700, mse_loss=0.906821, l2_loss=0.758532
train 50: time=0:00:01.232785, step=3774, mse_loss=0.512479, l2_loss=0.673173
dev 50: time=0:00:00.044283, step=3774, mse_loss=0.903978, l2_loss=0.757828
train 51: time=0:00:01.226024, step=3848, mse_loss=0.511472, l2_loss=0.672669
dev 51: time=0:00:00.044275, step=3848, mse_loss=0.90047, l2_loss=0.75721
train 52: time=0:00:01.233102, step=3922, mse_loss=0.510377, l2_loss=0.672138
dev 52: time=0:00:00.041114, step=3922, mse_loss=0.895922, l2_loss=0.756054
train 53: time=0:00:01.233071, step=3996, mse_loss=0.509393, l2_loss=0.671682
dev 53: time=0:00:00.040938, step=3996, mse_loss=0.893034, l2_loss=0.755566
train 54: time=0:00:01.230606, step=4070, mse_loss=0.508444, l2_loss=0.671183
dev 54: time=0:00:00.040686, step=4070, mse_loss=0.889619, l2_loss=0.754648
train 55: time=0:00:01.233538, step=4144, mse_loss=0.507219, l2_loss=0.670597
dev 55: time=0:00:00.047302, step=4144, mse_loss=0.885215, l2_loss=0.753939
train 56: time=0:00:01.236042, step=4218, mse_loss=0.50595, l2_loss=0.669957
dev 56: time=0:00:00.041221, step=4218, mse_loss=0.884119, l2_loss=0.753344
train 57: time=0:00:01.227975, step=4292, mse_loss=0.504909, l2_loss=0.669384
dev 57: time=0:00:00.043780, step=4292, mse_loss=0.880698, l2_loss=0.752798
train 58: time=0:00:01.229710, step=4366, mse_loss=0.503921, l2_loss=0.668871
dev 58: time=0:00:00.040891, step=4366, mse_loss=0.877676, l2_loss=0.752252
train 59: time=0:00:01.239066, step=4440, mse_loss=0.502927, l2_loss=0.668353
dev 59: time=0:00:00.041216, step=4440, mse_loss=0.875835, l2_loss=0.751738
train 60: time=0:00:01.240402, step=4514, mse_loss=0.501985, l2_loss=0.667842
dev 60: time=0:00:00.043639, step=4514, mse_loss=0.873233, l2_loss=0.751361
train 61: time=0:00:01.228282, step=4588, mse_loss=0.500953, l2_loss=0.667267
dev 61: time=0:00:00.040955, step=4588, mse_loss=0.87098, l2_loss=0.750791
train 62: time=0:00:01.233028, step=4662, mse_loss=0.49984, l2_loss=0.666645
dev 62: time=0:00:00.041676, step=4662, mse_loss=0.866512, l2_loss=0.750188
train 63: time=0:00:01.225800, step=4736, mse_loss=0.498634, l2_loss=0.665966
dev 63: time=0:00:00.045679, step=4736, mse_loss=0.866578, l2_loss=0.749964
train 64: time=0:00:01.231926, step=4810, mse_loss=0.497664, l2_loss=0.665368
dev 64: time=0:00:00.041424, step=4810, mse_loss=0.862837, l2_loss=0.749389
train 65: time=0:00:01.231856, step=4884, mse_loss=0.496653, l2_loss=0.66475
dev 65: time=0:00:00.040349, step=4884, mse_loss=0.859471, l2_loss=0.748789
train 66: time=0:00:01.232783, step=4958, mse_loss=0.495738, l2_loss=0.664181
dev 66: time=0:00:00.040532, step=4958, mse_loss=0.856814, l2_loss=0.748344
train 67: time=0:00:01.236991, step=5032, mse_loss=0.494528, l2_loss=0.663469
dev 67: time=0:00:00.041584, step=5032, mse_loss=0.856189, l2_loss=0.748071
train 68: time=0:00:01.232188, step=5106, mse_loss=0.493483, l2_loss=0.662817
dev 68: time=0:00:00.041030, step=5106, mse_loss=0.851646, l2_loss=0.747364
train 69: time=0:00:01.231617, step=5180, mse_loss=0.492513, l2_loss=0.662246
dev 69: time=0:00:00.041001, step=5180, mse_loss=0.850389, l2_loss=0.747199
train 70: time=0:00:01.222373, step=5254, mse_loss=0.491542, l2_loss=0.661665
dev 70: time=0:00:00.041253, step=5254, mse_loss=0.847004, l2_loss=0.746368
train 71: time=0:00:01.234543, step=5328, mse_loss=0.490771, l2_loss=0.661215
dev 71: time=0:00:00.043756, step=5328, mse_loss=0.844287, l2_loss=0.746192
train 72: time=0:00:01.228849, step=5402, mse_loss=0.489722, l2_loss=0.66062
dev 72: time=0:00:00.043607, step=5402, mse_loss=0.841824, l2_loss=0.745518
train 73: time=0:00:01.227210, step=5476, mse_loss=0.488739, l2_loss=0.660028
dev 73: time=0:00:00.054910, step=5476, mse_loss=0.838319, l2_loss=0.745024
train 74: time=0:00:01.228980, step=5550, mse_loss=0.487715, l2_loss=0.659445
dev 74: time=0:00:00.040833, step=5550, mse_loss=0.838107, l2_loss=0.744787
train 75: time=0:00:01.234168, step=5624, mse_loss=0.486703, l2_loss=0.658859
dev 75: time=0:00:00.048272, step=5624, mse_loss=0.831708, l2_loss=0.743858
train 76: time=0:00:01.234683, step=5698, mse_loss=0.485608, l2_loss=0.658233
dev 76: time=0:00:00.040779, step=5698, mse_loss=0.833306, l2_loss=0.743878
train 77: time=0:00:01.230742, step=5772, mse_loss=0.484465, l2_loss=0.657591
dev 77: time=0:00:00.041828, step=5772, mse_loss=0.827474, l2_loss=0.743087
train 78: time=0:00:01.233205, step=5846, mse_loss=0.483254, l2_loss=0.656885
dev 78: time=0:00:00.041714, step=5846, mse_loss=0.828, l2_loss=0.742983
train 79: time=0:00:01.236496, step=5920, mse_loss=0.482217, l2_loss=0.656234
dev 79: time=0:00:00.041611, step=5920, mse_loss=0.824276, l2_loss=0.742381
train 80: time=0:00:01.229320, step=5994, mse_loss=0.481249, l2_loss=0.655639
dev 80: time=0:00:00.041052, step=5994, mse_loss=0.822301, l2_loss=0.741945
train 81: time=0:00:01.235053, step=6068, mse_loss=0.480038, l2_loss=0.654969
dev 81: time=0:00:00.040237, step=6068, mse_loss=0.821906, l2_loss=0.741708
train 82: time=0:00:01.233849, step=6142, mse_loss=0.478911, l2_loss=0.654323
dev 82: time=0:00:00.040613, step=6142, mse_loss=0.818002, l2_loss=0.741277
train 83: time=0:00:01.227034, step=6216, mse_loss=0.477846, l2_loss=0.653676
dev 83: time=0:00:00.040557, step=6216, mse_loss=0.816025, l2_loss=0.740564
train 84: time=0:00:01.229375, step=6290, mse_loss=0.476773, l2_loss=0.653005
dev 84: time=0:00:00.043688, step=6290, mse_loss=0.813062, l2_loss=0.74021
train 85: time=0:00:01.227289, step=6364, mse_loss=0.475562, l2_loss=0.652268
dev 85: time=0:00:00.041059, step=6364, mse_loss=0.811886, l2_loss=0.7398
train 86: time=0:00:01.227152, step=6438, mse_loss=0.474409, l2_loss=0.651558
dev 86: time=0:00:00.046268, step=6438, mse_loss=0.809269, l2_loss=0.739409
train 87: time=0:00:01.234914, step=6512, mse_loss=0.473297, l2_loss=0.650832
dev 87: time=0:00:00.040696, step=6512, mse_loss=0.80901, l2_loss=0.739249
train 88: time=0:00:01.233481, step=6586, mse_loss=0.472285, l2_loss=0.65015
dev 88: time=0:00:00.041214, step=6586, mse_loss=0.803303, l2_loss=0.738136
train 89: time=0:00:01.231323, step=6660, mse_loss=0.471336, l2_loss=0.649521
dev 89: time=0:00:00.040523, step=6660, mse_loss=0.804687, l2_loss=0.73847
train 90: time=0:00:01.228000, step=6734, mse_loss=0.470346, l2_loss=0.648889
dev 90: time=0:00:00.061650, step=6734, mse_loss=0.80054, l2_loss=0.737372
train 91: time=0:00:01.232474, step=6808, mse_loss=0.469292, l2_loss=0.648169
dev 91: time=0:00:00.040734, step=6808, mse_loss=0.799004, l2_loss=0.737163
train 92: time=0:00:01.230701, step=6882, mse_loss=0.468262, l2_loss=0.64747
dev 92: time=0:00:00.041139, step=6882, mse_loss=0.797521, l2_loss=0.736795
train 93: time=0:00:01.238214, step=6956, mse_loss=0.467239, l2_loss=0.646788
dev 93: time=0:00:00.042959, step=6956, mse_loss=0.796033, l2_loss=0.73622
train 94: time=0:00:01.236991, step=7030, mse_loss=0.466097, l2_loss=0.646041
dev 94: time=0:00:00.040113, step=7030, mse_loss=0.792874, l2_loss=0.735778
train 95: time=0:00:01.227097, step=7104, mse_loss=0.465059, l2_loss=0.645331
dev 95: time=0:00:00.042927, step=7104, mse_loss=0.793678, l2_loss=0.735795
train 96: time=0:00:01.234373, step=7178, mse_loss=0.464154, l2_loss=0.644692
dev 96: time=0:00:00.045445, step=7178, mse_loss=0.789992, l2_loss=0.735089
train 97: time=0:00:01.226321, step=7252, mse_loss=0.463266, l2_loss=0.644066
dev 97: time=0:00:00.040732, step=7252, mse_loss=0.788433, l2_loss=0.734826
train 98: time=0:00:01.235067, step=7326, mse_loss=0.462209, l2_loss=0.643359
dev 98: time=0:00:00.040566, step=7326, mse_loss=0.787217, l2_loss=0.734408
train 99: time=0:00:01.230758, step=7400, mse_loss=0.461302, l2_loss=0.642738
dev 99: time=0:00:00.044931, step=7400, mse_loss=0.784834, l2_loss=0.734018
train 100: time=0:00:01.232320, step=7474, mse_loss=0.460349, l2_loss=0.642083
dev 100: time=0:00:00.040904, step=7474, mse_loss=0.78383, l2_loss=0.73377
train 101: time=0:00:01.232177, step=7548, mse_loss=0.459424, l2_loss=0.641453
dev 101: time=0:00:00.040435, step=7548, mse_loss=0.782083, l2_loss=0.733521
train 102: time=0:00:01.230868, step=7622, mse_loss=0.458486, l2_loss=0.640788
dev 102: time=0:00:00.040735, step=7622, mse_loss=0.781279, l2_loss=0.733025
train 103: time=0:00:01.234307, step=7696, mse_loss=0.45755, l2_loss=0.640139
dev 103: time=0:00:00.041159, step=7696, mse_loss=0.777144, l2_loss=0.732527
train 104: time=0:00:01.237173, step=7770, mse_loss=0.456741, l2_loss=0.639597
dev 104: time=0:00:00.041011, step=7770, mse_loss=0.777469, l2_loss=0.732306
train 105: time=0:00:01.234524, step=7844, mse_loss=0.455841, l2_loss=0.638967
dev 105: time=0:00:00.040909, step=7844, mse_loss=0.774241, l2_loss=0.731765
train 106: time=0:00:01.223765, step=7918, mse_loss=0.455021, l2_loss=0.638384
dev 106: time=0:00:00.040939, step=7918, mse_loss=0.772148, l2_loss=0.731435
train 107: time=0:00:01.229567, step=7992, mse_loss=0.454146, l2_loss=0.637771
dev 107: time=0:00:00.043949, step=7992, mse_loss=0.770859, l2_loss=0.731073
train 108: time=0:00:01.237167, step=8066, mse_loss=0.453163, l2_loss=0.637077
dev 108: time=0:00:00.051978, step=8066, mse_loss=0.766578, l2_loss=0.730397
train 109: time=0:00:01.230708, step=8140, mse_loss=0.452218, l2_loss=0.636426
dev 109: time=0:00:00.048230, step=8140, mse_loss=0.767548, l2_loss=0.730467
train 110: time=0:00:01.229282, step=8214, mse_loss=0.451348, l2_loss=0.635805
dev 110: time=0:00:00.041166, step=8214, mse_loss=0.763524, l2_loss=0.729688
train 111: time=0:00:01.239160, step=8288, mse_loss=0.450353, l2_loss=0.635099
dev 111: time=0:00:00.040543, step=8288, mse_loss=0.762554, l2_loss=0.729336
train 112: time=0:00:01.240340, step=8362, mse_loss=0.449411, l2_loss=0.634444
dev 112: time=0:00:00.041456, step=8362, mse_loss=0.760942, l2_loss=0.729033
train 113: time=0:00:01.234172, step=8436, mse_loss=0.448507, l2_loss=0.633818
dev 113: time=0:00:00.046810, step=8436, mse_loss=0.759674, l2_loss=0.728861
train 114: time=0:00:01.234410, step=8510, mse_loss=0.447572, l2_loss=0.633147
dev 114: time=0:00:00.041409, step=8510, mse_loss=0.75737, l2_loss=0.728345
train 115: time=0:00:01.229947, step=8584, mse_loss=0.446604, l2_loss=0.632427
dev 115: time=0:00:00.041034, step=8584, mse_loss=0.755765, l2_loss=0.727942
train 116: time=0:00:01.230142, step=8658, mse_loss=0.445654, l2_loss=0.631743
dev 116: time=0:00:00.040880, step=8658, mse_loss=0.755485, l2_loss=0.727728
train 117: time=0:00:01.231819, step=8732, mse_loss=0.444816, l2_loss=0.631142
dev 117: time=0:00:00.041152, step=8732, mse_loss=0.752266, l2_loss=0.727283
train 118: time=0:00:01.231464, step=8806, mse_loss=0.443988, l2_loss=0.63058
dev 118: time=0:00:00.043605, step=8806, mse_loss=0.750668, l2_loss=0.726858
train 119: time=0:00:01.236709, step=8880, mse_loss=0.443087, l2_loss=0.629952
dev 119: time=0:00:00.041049, step=8880, mse_loss=0.750485, l2_loss=0.72675
train 120: time=0:00:01.233670, step=8954, mse_loss=0.442203, l2_loss=0.62933
dev 120: time=0:00:00.041985, step=8954, mse_loss=0.747432, l2_loss=0.726113
train 121: time=0:00:01.231291, step=9028, mse_loss=0.441379, l2_loss=0.628756
dev 121: time=0:00:00.044905, step=9028, mse_loss=0.745895, l2_loss=0.72575
train 122: time=0:00:01.230867, step=9102, mse_loss=0.440704, l2_loss=0.628281
dev 122: time=0:00:00.042009, step=9102, mse_loss=0.743194, l2_loss=0.725315
train 123: time=0:00:01.227958, step=9176, mse_loss=0.439875, l2_loss=0.62768
dev 123: time=0:00:00.041095, step=9176, mse_loss=0.743849, l2_loss=0.725307
train 124: time=0:00:01.230516, step=9250, mse_loss=0.439037, l2_loss=0.627123
dev 124: time=0:00:00.042928, step=9250, mse_loss=0.740865, l2_loss=0.724734
train 125: time=0:00:01.230521, step=9324, mse_loss=0.43813, l2_loss=0.626479
dev 125: time=0:00:00.040996, step=9324, mse_loss=0.739408, l2_loss=0.724376
train 126: time=0:00:01.233540, step=9398, mse_loss=0.437342, l2_loss=0.625936
dev 126: time=0:00:00.048655, step=9398, mse_loss=0.73693, l2_loss=0.723824
train 127: time=0:00:01.239066, step=9472, mse_loss=0.436603, l2_loss=0.625403
dev 127: time=0:00:00.040955, step=9472, mse_loss=0.73532, l2_loss=0.723403
train 128: time=0:00:01.242126, step=9546, mse_loss=0.435844, l2_loss=0.624878
dev 128: time=0:00:00.042384, step=9546, mse_loss=0.735014, l2_loss=0.723496
train 129: time=0:00:01.228637, step=9620, mse_loss=0.435139, l2_loss=0.624381
dev 129: time=0:00:00.040889, step=9620, mse_loss=0.732571, l2_loss=0.722858
train 130: time=0:00:01.227468, step=9694, mse_loss=0.434325, l2_loss=0.623814
dev 130: time=0:00:00.042725, step=9694, mse_loss=0.730286, l2_loss=0.722407
train 131: time=0:00:01.233694, step=9768, mse_loss=0.433523, l2_loss=0.623258
dev 131: time=0:00:00.041253, step=9768, mse_loss=0.72902, l2_loss=0.722154
train 132: time=0:00:01.229978, step=9842, mse_loss=0.432656, l2_loss=0.622669
dev 132: time=0:00:00.041117, step=9842, mse_loss=0.728085, l2_loss=0.721858
train 133: time=0:00:01.233836, step=9916, mse_loss=0.431716, l2_loss=0.622018
dev 133: time=0:00:00.041131, step=9916, mse_loss=0.726409, l2_loss=0.721649
train 134: time=0:00:01.230200, step=9990, mse_loss=0.430899, l2_loss=0.621443
dev 134: time=0:00:00.040548, step=9990, mse_loss=0.72412, l2_loss=0.721178
train 135: time=0:00:01.234143, step=10064, mse_loss=0.430107, l2_loss=0.620868
dev 135: time=0:00:00.042215, step=10064, mse_loss=0.724697, l2_loss=0.720857
train 136: time=0:00:01.237631, step=10138, mse_loss=0.429357, l2_loss=0.620362
dev 136: time=0:00:00.041087, step=10138, mse_loss=0.721793, l2_loss=0.720318
train 137: time=0:00:01.234157, step=10212, mse_loss=0.42859, l2_loss=0.619845
dev 137: time=0:00:00.042150, step=10212, mse_loss=0.722307, l2_loss=0.720343
train 138: time=0:00:01.235636, step=10286, mse_loss=0.427712, l2_loss=0.619247
dev 138: time=0:00:00.046855, step=10286, mse_loss=0.719248, l2_loss=0.719703
train 139: time=0:00:01.231964, step=10360, mse_loss=0.426863, l2_loss=0.618634
dev 139: time=0:00:00.041349, step=10360, mse_loss=0.719029, l2_loss=0.719554
train 140: time=0:00:01.229127, step=10434, mse_loss=0.42604, l2_loss=0.618089
dev 140: time=0:00:00.045176, step=10434, mse_loss=0.719451, l2_loss=0.719464
train 141: time=0:00:01.235578, step=10508, mse_loss=0.425339, l2_loss=0.617594
dev 141: time=0:00:00.040838, step=10508, mse_loss=0.716708, l2_loss=0.718896
train 142: time=0:00:01.231276, step=10582, mse_loss=0.424606, l2_loss=0.617066
dev 142: time=0:00:00.040958, step=10582, mse_loss=0.715232, l2_loss=0.718635
train 143: time=0:00:01.230711, step=10656, mse_loss=0.423746, l2_loss=0.616471
dev 143: time=0:00:00.040878, step=10656, mse_loss=0.714972, l2_loss=0.718544
train 144: time=0:00:01.238584, step=10730, mse_loss=0.423023, l2_loss=0.615945
dev 144: time=0:00:00.040835, step=10730, mse_loss=0.714098, l2_loss=0.718204
train 145: time=0:00:01.243247, step=10804, mse_loss=0.422155, l2_loss=0.61531
dev 145: time=0:00:00.042475, step=10804, mse_loss=0.71195, l2_loss=0.717567
train 146: time=0:00:01.231508, step=10878, mse_loss=0.421425, l2_loss=0.61478
dev 146: time=0:00:00.044138, step=10878, mse_loss=0.709853, l2_loss=0.717197
train 147: time=0:00:01.225753, step=10952, mse_loss=0.420616, l2_loss=0.614225
dev 147: time=0:00:00.041148, step=10952, mse_loss=0.708781, l2_loss=0.716763
train 148: time=0:00:01.232966, step=11026, mse_loss=0.420042, l2_loss=0.613826
dev 148: time=0:00:00.042641, step=11026, mse_loss=0.7077, l2_loss=0.716517
train 149: time=0:00:01.240451, step=11100, mse_loss=0.419298, l2_loss=0.61336
dev 149: time=0:00:00.041129, step=11100, mse_loss=0.708274, l2_loss=0.716499
train 150: time=0:00:01.235933, step=11174, mse_loss=0.418667, l2_loss=0.612886
dev 150: time=0:00:00.041032, step=11174, mse_loss=0.705331, l2_loss=0.715812
train 151: time=0:00:01.231248, step=11248, mse_loss=0.417983, l2_loss=0.612419
dev 151: time=0:00:00.041375, step=11248, mse_loss=0.704727, l2_loss=0.715692
train 152: time=0:00:01.237583, step=11322, mse_loss=0.417249, l2_loss=0.61182
dev 152: time=0:00:00.041039, step=11322, mse_loss=0.701803, l2_loss=0.715079
train 153: time=0:00:01.231146, step=11396, mse_loss=0.416599, l2_loss=0.611336
dev 153: time=0:00:00.041176, step=11396, mse_loss=0.703165, l2_loss=0.715332
train 154: time=0:00:01.233850, step=11470, mse_loss=0.415842, l2_loss=0.610742
dev 154: time=0:00:00.040907, step=11470, mse_loss=0.701935, l2_loss=0.714864
train 155: time=0:00:01.227268, step=11544, mse_loss=0.415085, l2_loss=0.610228
dev 155: time=0:00:00.042528, step=11544, mse_loss=0.699905, l2_loss=0.714557
train 156: time=0:00:01.230219, step=11618, mse_loss=0.414408, l2_loss=0.609706
dev 156: time=0:00:00.042037, step=11618, mse_loss=0.699553, l2_loss=0.714275
train 157: time=0:00:01.228313, step=11692, mse_loss=0.413769, l2_loss=0.609258
dev 157: time=0:00:00.044192, step=11692, mse_loss=0.699139, l2_loss=0.714076
train 158: time=0:00:01.238924, step=11766, mse_loss=0.413271, l2_loss=0.608873
dev 158: time=0:00:00.040610, step=11766, mse_loss=0.69793, l2_loss=0.713732
train 159: time=0:00:01.233332, step=11840, mse_loss=0.4126, l2_loss=0.608427
dev 159: time=0:00:00.040750, step=11840, mse_loss=0.697515, l2_loss=0.713531
train 160: time=0:00:01.233205, step=11914, mse_loss=0.411992, l2_loss=0.607959
dev 160: time=0:00:00.040804, step=11914, mse_loss=0.695582, l2_loss=0.713152
train 161: time=0:00:01.231591, step=11988, mse_loss=0.41135, l2_loss=0.607511
dev 161: time=0:00:00.040964, step=11988, mse_loss=0.695301, l2_loss=0.712968
train 162: time=0:00:01.239152, step=12062, mse_loss=0.410785, l2_loss=0.607056
dev 162: time=0:00:00.045729, step=12062, mse_loss=0.692907, l2_loss=0.712528
train 163: time=0:00:01.231856, step=12136, mse_loss=0.410254, l2_loss=0.606706
dev 163: time=0:00:00.118756, step=12136, mse_loss=0.693542, l2_loss=0.712562
train 164: time=0:00:01.230140, step=12210, mse_loss=0.409706, l2_loss=0.606319
